"ENSMUSG"	"row_names"
"ENSMUSG00000059049"	462
"ENSMUSG00000091086"	463
"ENSMUSG00000071984"	464
"ENSMUSG00000029561"	465
"ENSMUSG00000033590"	466
"ENSMUSG00000037370"	467
"ENSMUSG00000020297"	468
"ENSMUSG00000092274"	469
"ENSMUSG00000089739"	470
"ENSMUSG00000040181"	471
"ENSMUSG00000020716"	472
"ENSMUSG00000029335"	473
"ENSMUSG00000048612"	474
"ENSMUSG00000020689"	475
"ENSMUSG00000072902"	476
"ENSMUSG00000031245"	477
"ENSMUSG00000028351"	478
"ENSMUSG00000069008"	479
"ENSMUSG00000106037"	480
"ENSMUSG00000021466"	481
"ENSMUSG00000026574"	482
"ENSMUSG00000031825"	483
"ENSMUSG00000019467"	484
"ENSMUSG00000022687"	485
"ENSMUSG00000068200"	486
"ENSMUSG00000043940"	487
"ENSMUSG00000000942"	488
"ENSMUSG00000033355"	489
"ENSMUSG00000045215"	490
"ENSMUSG00000034218"	491
"ENSMUSG00000030287"	492
"ENSMUSG00000026104"	493
"ENSMUSG00000037362"	494
"ENSMUSG00000024411"	495
"ENSMUSG00000105211"	496
"ENSMUSG00000025927"	497
"ENSMUSG00000049233"	498
"ENSMUSG00000021719"	499
"ENSMUSG00000024659"	500
